numWeek,Date,Open,High,Low,Close,Adj Close,Volume,P/L
1,2020/10/5,44.02,45.200001,42.32,43.389999,43.389999,61278500,-0.630001
2,2020/10/12,44.5,45.84,42.669998,44.060001,44.060001,55245400,-0.439999
3,2020/10/19,44.200001,53.23,44.060001,53,53,108868100,8.799999
4,2020/10/26,53.450001,68.93,48.57,58.950001,58.950001,262464600,5.5
5,2020/11/2,59,65.470001,56.310001,64.739998,64.739998,106762200,5.739998
6,2020/11/9,61,62.627998,52.060001,62.32,62.32,83478500,1.32
7,2020/11/16,61.48,67.599998,59.119999,66.849998,66.849998,49367900,5.369998
8,2020/11/23,67.599998,70.110001,62.43,69.720001,69.720001,45644000,2.120003
9,2020/11/30,70.25,71.370003,65.010002,67.309998,67.309998,50044300,-2.940002
10,2020/12/7,68.279999,72.879997,66.599998,71.129997,71.129997,41623100,2.849998
11,2020/12/14,72.169998,72.68,68.68,70.360001,70.360001,43828600,-1.809997
12,2020/12/21,69.610001,75.441002,68.349998,71.040001,71.040001,37458800,1.43
13,2020/12/28,72,72.480003,65.449997,65.900002,65.900002,30242900,-6.099998
14,2021/1/4,66,73.57,64.5,71.870003,71.870003,47799700,5.870003
15,2021/1/11,70.809998,76.879997,68.919998,69.75,69.75,48519200,-1.059998
16,2021/1/18,71.75,75.400002,69.580002,73.080002,73.080002,33463300,1.330002
17,2021/1/25,74.459999,75.07,62.150002,68.510002,68.510002,70683500,-5.949997
18,2021/2/1,69.610001,86.490997,68.550003,81.959999,81.959999,108830500,12.349998
19,2021/2/8,81.43,87.374001,77.940002,84.040001,84.040001,90964300,2.610001
20,2021/2/15,86.550003,89.900002,83.629997,85.900002,85.900002,45916400,-0.650001
21,2021/2/22,85,86.830002,70.599998,80.580002,80.580002,64961600,-4.419998
22,2021/3/1,82.57,85.099998,60.330002,68.139999,68.139999,75304500,-14.430001
23,2021/3/8,68.550003,72.279999,62.310001,71.75,71.75,62439400,3.199997
24,2021/3/15,72.300003,75.629997,69.110001,73.010002,73.010002,55186900,0.709999
25,2021/3/22,71.800003,73.25,65.5,69.07,69.07,56344100,-2.730003
26,2021/3/29,68.839996,78.670998,67.529999,77.730003,77.730003,37522700,8.890007
27,2021/4/5,79.370003,86.113998,77.830002,85.529999,85.529999,50227900,6.159996
28,2021/4/12,85.003998,88.830002,75.309998,76.220001,76.220001,68359700,-8.783997
29,2021/4/19,75.599998,75.889999,69.849998,74.989998,74.989998,63783400,-0.61
30,2021/4/26,74.889999,78.629997,65.360001,66.370003,66.370003,125512800,-8.519996
31,2021/5/3,66.709999,67.370003,57.049999,59.860001,59.860001,91511200,-6.849998
32,2021/5/10,58.509998,60.34,53.939999,58.049999,58.049999,73880600,-0.459999
33,2021/5/17,57.5,61.98,56.130001,60.860001,60.860001,44799100,3.360001
34,2021/5/24,61.259998,65.849998,60.77,65.300003,65.300003,47755500,4.040005
35,2021/5/31,66,66.629997,62.419998,62.889999,62.889999,24762200,-3.110001
36,2021/6/7,62.880001,69.080002,62.02,68.18,68.18,39932500,5.299999
37,2021/6/14,68.5,74.580002,67.945,74.190002,74.190002,67223500,5.690002
38,2021/6/21,73.139999,77.459999,70.019997,76.839996,76.839996,55805500,3.699997
39,2021/6/28,77.330002,80.540001,76.769997,79.309998,79.309998,33024000,1.979996
40,2021/7/5,79.400002,81.769997,74.120003,76.989998,76.989998,33429000,-2.410004
41,2021/7/12,77.230003,77.889999,68.379997,68.730003,68.730003,47697900,-8.5
42,2021/7/19,67.32,77.919998,66.169998,76.910004,76.910004,46445900,9.590004
43,2021/7/26,76.150002,77.290001,58.009998,58.900002,58.900002,125140700,-17.25
44,2021/8/2,59.305,60.939999,56.810001,58.779999,58.779999,84907300,-0.525001
45,2021/8/9,58.645,59.41,55.669998,56.060001,56.060001,46068800,-2.584999
46,2021/8/16,56.099998,56.631001,51.950001,53.860001,53.860001,45343000,-2.239997
47,2021/8/23,53.919998,57.779999,53.801998,57.220001,57.220001,37297000,3.300003
48,2021/8/30,56.810001,58.16,55.360001,56.59,56.59,41013500,-0.220001
49,2021/9/6,56.700001,56.939999,53.889999,54.240002,54.240002,25445300,-2.459999
50,2021/9/13,54.25,55.59,52.639999,54.77,54.77,33075500,0.52
51,2021/9/20,53.75,55.09,51.349998,54.200001,54.200001,39338400,0.450001
52,2021/9/27,53.450001,54.029999,50.310001,52.619999,52.619999,34513600,-0.830002
